role,job_count,demand_trend,avg_salary,top_skills,ai_risk_distribution,emerging_skills,scope_example
machine learning engineer,154,Declining,1650000.0,"['artificial intelligence', 'machine learning', 'data science', 'generative ai', 'python', 'deep learning', 'mlops', 'aws', 'computer vision', 'rag']","{'Safe': 144, 'Moderate': 10}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
data scientist,143,Stable,1890000.0,"['artificial intelligence', 'machine learning', 'python', 'data science', 'generative ai', 'azure', 'sql', 'nlp', 'data analysis', 'deep learning']","{'Safe': 104, 'Moderate': 39}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
ai engineer,114,Stable,52500.0,"['artificial intelligence', 'llm', 'machine learning', 'deep learning', 'neural networks', 'generative ai', 'python', 'aws', 'rag', 'java']","{'Safe': 82, 'Moderate': 32}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
backend developer,110,Declining,2450000.0,"['java', 'artificial intelligence', 'sql', 'c', 'python', 'javascript', 'azure', 'aws', 'fastapi', 'mysql']","{'Moderate': 81, 'Safe': 29}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
frontend developer,106,Declining,2066666.6666666667,"['java', 'javascript', 'artificial intelligence', 'sql', 'typescript', 'python', 'nosql', 'c', 'aws', 'generative ai']","{'Moderate': 84, 'Safe': 22}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
data analyst,98,Declining,935000.0,"['artificial intelligence', 'sql', 'python', 'aws', 'azure', 'data analytics', 'business intelligence', 'pyspark', 'spark', 'c']","{'Moderate': 66, 'Safe': 29, 'High Risk': 3}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
accountant,54,Stable,1600000.0,"['artificial intelligence', 'excel', 'c', 'google cloud', 'r', 'data analysis', 'data analytics']","{'Safe': 44, 'Moderate': 7, 'High Risk': 3}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
content writer,40,Growing,506666.6666666667,"['artificial intelligence', 'machine learning', 'excel', 'generative ai', 'data analytics', 'c', 'llm', 'deep learning', 'nlp', 'mlops']","{'Safe': 37, 'Moderate': 2, 'High Risk': 1}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
business analyst,38,Growing,,"['artificial intelligence', 'sql', 'business intelligence', 'data analysis', 'c', 'java', 'power bi', 'azure', 'r', 'typescript']","{'Moderate': 21, 'Safe': 17}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
data entry operator,31,Growing,271076.92307692306,"['excel', 'artificial intelligence', 'c', 'r', 'machine learning']","{'High Risk': 24, 'Safe': 5, 'Moderate': 2}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
software engineer,30,Stable,,"['artificial intelligence', 'python', 'java', 'aws', 'c', 'machine learning', 'c++', 'amazon web services', 'business intelligence', 'azure']","{'Moderate': 19, 'Safe': 11}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
graphic designer,25,Growing,415000.0,"['artificial intelligence', 'javascript', 'sql', 'typescript', 'r', 'excel', 'machine learning', 'c++', 'python', 'c']","{'Safe': 16, 'Moderate': 8, 'High Risk': 1}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
project manager,20,Stable,,"['artificial intelligence', 'gcp', 'aws', 'r', 'data analysis', 'deep learning', 'c', 'linux', 'google cloud']","{'Safe': 13, 'Moderate': 7}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
customer support executive,16,Declining,,"['artificial intelligence', 'r', 'c', 'excel']","{'Moderate': 8, 'Safe': 5, 'High Risk': 3}","['statistics', 'tensorflow', 'linux', 'keras', 'tableau', 'transformers', 'xgboost', 'scala', 'pinecone', 'gitlab']","Build models, analyze data, deploy ML/AI systems"
